Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
UglifyJS2;Original;-;1;0;71867;0;64357;0;0
UglifyJS2;RD;18;1;0;69156;0.03772245954332308;61959;0.03726090401976475;NaN
UglifyJS2;GA;N/A;1;0;71867;0;64357;0;0
UglifyJS2;GA2;N/A;1;0;71867;0;64357;0;0
UglifyJS2;HC;N/A;1;0;71867;0;64357;0;0
UglifyJS2;HC2;N/A;1;0;71867;0;64357;0;0
UglifyJS2;HC3;0;1;0;71423;0.006178078951396329;63803;0.008608232204732974;NaN
UglifyJS2;HC4;N/A;1;0;71867;0;64357;0;0
UglifyJS2;HC5;N/A;1;0;71867;0;64357;0;0
UglifyJS2;HC52;N/A;1;0;71867;0;64357;0;0
