Lib;Heuristic;Trial;Lines;% Improved Loc;Chars;% Improved Chars;Instructions;% Improved Instructions;Time Spent
lodash;Original;-;1;0;48972;0;60995;0;0
lodash;RD;N/A;1;0;48972;0;60995;0;0
lodash;GA;N/A;1;0;48972;0;60995;0;0
lodash;GA2;N/A;1;0;48972;0;60995;0;0
lodash;HC;N/A;1;0;48972;0;60995;0;0
lodash;HC2;N/A;1;0;48972;0;60995;0;0
lodash;HC3;23;1;0;45088;0.0793106264804378;55220;0.09467989179440937;NaN
lodash;HC4;21;1;0;45100;0.07906558849955077;55192;0.09513894581523076;NaN
lodash;HC42;N/A;1;0;48972;0;60995;0;0
lodash;HC5;N/A;1;0;48972;0;60995;0;0
lodash;HC32;N/A;1;0;48972;0;60995;0;0
lodash;HC42;N/A;1;0;48972;0;60995;0;0
lodash;HC52;N/A;1;0;48972;0;60995;0;0
